Type,Days for shipment (scheduled),Benefit per order,Sales per customer,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Shipping_Pressure_Index,Order_Complexity_Score,Profit_Margin,Express_Shipping
1,0,23.23,70.38,38,454,0,0,5,6,2,2868,38,9.6,0.12,39.99,0.33,2,79.98,70.38,23.23,1,893,2,102,39.99,1,0.0,79.98,0.2904476119029757,1
1,4,11.88,118.78,12,454,0,0,5,0,3,2066,152,1.2,0.01,59.99,0.1,2,119.98,118.78,11.88,20,664,2,71,59.99,3,0.5,119.98,0.0990165027504584,0
1,4,-21.0,84.0,47,454,0,0,5,6,3,2066,152,16.0,0.16,50.0,-0.25,2,100.0,84.0,-21.0,20,664,2,59,50.0,3,0.5,100.0,-0.21,0
1,0,-119.92,139.44,30,454,0,0,5,3,2,2868,38,10.5,0.07,49.98,-0.86,3,149.94,139.44,-119.92,1,893,2,67,49.98,1,0.0,149.94,-0.7997865812991863,1
1,0,34.29,97.96,30,454,0,0,5,3,2,2868,38,2.0,0.02,49.98,0.35,2,99.96,97.96,34.29,1,893,2,67,49.98,1,0.0,99.96,0.3430372148859544,1
2,4,78.91,208.77,12,66,1,2,36,0,0,1727,106,31.19,0.13,59.99,0.38,4,239.96,208.77,78.91,19,568,6,71,59.99,3,1.0,239.96,0.328846474412402,0
3,2,51.16,106.59,34,66,1,2,36,0,4,3407,48,23.4,0.18,129.99,0.48,1,129.99,106.59,51.16,18,986,7,56,129.99,2,0.5,129.99,0.3935687360566197,0
3,2,53.55,254.98,9,66,1,2,36,3,4,3407,48,45.0,0.15,299.98,0.21,1,299.98,254.98,53.55,18,986,7,21,299.98,2,0.5,299.98,0.1785119007933862,0
3,2,47.92,145.21,19,66,1,2,36,5,4,3407,48,29.74,0.17,34.99,0.33,5,174.95,145.21,47.92,18,986,7,103,34.99,2,2.5,174.95000000000002,0.2739068305230066,0
3,2,21.77,197.92,30,66,1,2,36,3,4,3407,48,2.0,0.01,49.98,0.11,4,199.92,197.92,21.77,18,986,7,67,49.98,2,2.0,199.92,0.1088935574229691,0
3,2,27.29,90.96,30,66,1,2,36,3,4,3407,48,9.0,0.09,49.98,0.3,2,99.96,90.96,27.29,18,986,7,67,49.98,2,1.0,99.96,0.2730092036814726,0
1,4,29.25,97.49,34,66,1,2,36,0,0,1637,123,32.5,0.25,129.99,0.3,1,129.99,97.49,29.25,2,542,2,56,129.99,3,0.25,129.99,0.225017309023771,0
3,4,75.2,160.0,47,384,0,0,28,6,2,575,102,40.0,0.2,50.0,0.47,4,200.0,160.0,75.2,3,839,7,59,50.0,3,1.0,200.0,0.376,0
3,4,215.98,479.95,10,384,0,0,28,5,2,575,102,20.0,0.04,99.99,0.45,5,499.95,479.95,215.98,3,839,7,61,99.99,3,1.25,499.95,0.432003200320032,0
3,4,56.83,195.95,38,384,0,0,28,6,2,575,102,4.0,0.02,39.99,0.29,5,199.95,195.95,56.83,3,839,7,102,39.99,3,1.25,199.95,0.2842210552638159,0
2,2,25.48,91.0,47,384,0,0,28,6,4,600,48,9.0,0.09,50.0,0.28,2,100.0,91.0,25.48,18,986,6,59,50.0,2,1.0,100.0,0.2548,0
2,2,143.99,299.97,10,384,0,0,28,5,4,600,48,0.0,0.0,99.99,0.48,3,299.97,299.97,143.99,18,986,6,61,99.99,2,1.5,299.97,0.48001466813348,0
2,2,111.04,236.25,47,384,0,0,28,6,4,600,48,13.75,0.06,50.0,0.47,5,250.0,236.25,111.04,18,986,6,59,50.0,2,2.5,250.0,0.44416,0
2,4,19.07,116.99,34,384,0,0,28,0,3,246,51,13.0,0.1,129.99,0.16,1,129.99,116.99,19.07,15,256,6,56,129.99,3,0.25,129.99,0.1467035925840449,0
2,4,91.52,351.98,18,384,0,0,28,3,3,246,51,48.0,0.12,399.98,0.26,1,399.98,351.98,91.52,15,256,6,24,399.98,3,0.25,399.98,0.2288114405720285,0
2,4,0.0,189.99,46,384,0,0,28,3,3,246,51,10.0,0.05,199.99,0.0,1,199.99,189.99,0.0,15,256,6,70,199.99,3,0.25,199.99,0.0,0
3,2,46.97,161.97,12,384,0,0,28,0,2,690,102,18.0,0.1,59.99,0.29,3,179.97,161.97,46.97,3,225,5,71,59.99,2,1.5,179.97,0.2609879424348502,0
3,2,45.35,167.96,38,384,0,0,28,6,2,690,102,31.99,0.16,39.99,0.27,5,199.95,167.96,45.35,3,225,5,102,39.99,2,2.5,199.95,0.2268067016754189,0
2,4,-63.64,82.97,30,384,0,0,28,3,3,246,51,16.99,0.17,49.98,-0.77,2,99.96,82.97,-63.64,15,256,6,67,49.98,3,0.5,99.96,-0.636654661864746,0
2,4,38.52,81.97,30,384,0,0,28,3,3,246,51,17.99,0.18,49.98,0.47,2,99.96,81.97,38.52,15,256,6,67,49.98,3,0.5,99.96,0.3853541416566627,0
3,2,50.38,209.92,30,384,0,0,28,3,2,690,102,39.98,0.16,49.98,0.24,5,249.9,209.92,50.38,3,225,5,67,49.98,2,2.5,249.9,0.2016006402561024,0
3,4,36.96,127.45,30,384,0,0,28,3,2,575,102,22.49,0.15,49.98,0.29,3,149.94,127.45,36.96,3,839,7,67,49.98,3,0.75,149.94,0.2464985994397759,0
1,4,45.82,97.49,34,66,1,1,36,0,1,2725,120,32.5,0.25,129.99,0.47,1,129.99,97.49,45.82,10,454,2,56,129.99,3,0.25,129.99,0.3524886529733056,0
1,4,42.25,129.99,34,66,1,1,36,0,1,1678,2,0.0,0.0,129.99,0.33,1,129.99,129.99,42.25,22,846,3,56,129.99,3,0.25,129.99,0.3250250019232248,0
1,4,97.49,299.98,9,66,1,1,36,3,1,1678,2,0.0,0.0,299.98,0.33,1,299.98,299.98,97.49,22,846,3,21,299.98,3,0.25,299.98,0.3249883325555037,0
1,4,78.74,224.99,9,66,1,1,36,3,1,1678,2,75.0,0.25,299.98,0.35,1,299.98,224.99,78.74,22,846,3,21,299.98,3,0.25,299.98,0.2624841656110407,0
1,4,7.43,99.0,47,66,1,1,36,6,1,1678,2,1.0,0.01,50.0,0.08,2,100.0,99.0,7.43,22,846,3,59,50.0,3,0.5,100.0,0.0742999999999999,0
1,4,0.0,169.98,10,66,1,1,36,5,3,1964,51,30.0,0.15,99.99,0.0,2,199.98,169.98,0.0,15,196,3,61,99.99,3,0.5,199.98,0.0,0
1,4,34.13,136.5,47,66,1,1,36,6,3,1964,51,13.5,0.09,50.0,0.25,3,150.0,136.5,34.13,15,196,3,59,50.0,3,0.75,150.0,0.2275333333333333,0
1,4,-250.1,374.96,10,66,1,1,36,5,1,2725,120,124.99,0.25,99.99,-0.67,5,499.95,374.96,-250.1,10,454,2,61,99.99,3,1.25,499.95,-0.5002500250025003,0
1,4,153.43,464.95,10,66,1,1,36,5,3,1964,51,35.0,0.07,99.99,0.33,5,499.95,464.95,153.43,15,196,3,61,99.99,3,1.25,499.95,0.3068906890689069,0
2,4,54.28,113.09,34,66,1,1,36,0,3,1235,31,16.9,0.13,129.99,0.48,1,129.99,113.09,54.28,7,437,6,56,129.99,3,0.25,129.99,0.4175705823524886,0
2,4,49.72,110.49,34,66,1,1,36,0,3,2050,8,19.5,0.15,129.99,0.45,1,129.99,110.49,49.72,11,1033,6,56,129.99,3,0.25,129.99,0.3824909608431417,0
3,4,2.79,232.41,30,66,1,1,36,3,4,760,48,17.49,0.07,49.98,0.01,5,249.9,232.41,2.79,14,362,7,67,49.98,3,1.25,249.9,0.0111644657863145,0
3,4,74.79,169.98,10,66,1,1,36,5,4,760,48,30.0,0.15,99.99,0.44,2,199.98,169.98,74.79,14,362,7,61,99.99,3,0.5,199.98,0.373987398739874,0
3,4,1.12,37.49,0,66,1,1,36,8,4,760,48,12.5,0.25,24.99,0.03,2,49.98,37.49,1.12,14,362,7,86,24.99,3,0.5,49.98,0.0224089635854341,0
2,4,41.98,149.94,30,66,1,1,36,3,3,1235,31,49.98,0.25,49.98,0.28,4,199.92,149.94,41.98,7,437,6,67,49.98,3,1.0,199.92,0.2099839935974389,0
1,4,132.29,377.98,18,66,1,1,36,3,1,1678,2,22.0,0.06,399.98,0.35,1,399.98,377.98,132.29,22,846,3,24,399.98,3,0.25,399.98,0.3307415370768538,0
3,4,72.03,147.0,47,66,1,1,36,6,2,3139,66,3.0,0.02,50.0,0.49,3,150.0,147.0,72.03,3,346,7,59,50.0,3,0.75,150.0,0.4802,0
3,4,52.38,145.5,47,66,1,1,36,6,2,3139,66,4.5,0.03,50.0,0.36,3,150.0,145.5,52.38,3,346,7,59,50.0,3,0.75,150.0,0.3492,0
2,4,125.73,371.98,18,66,1,1,36,3,3,2050,8,28.0,0.07,399.98,0.34,1,399.98,371.98,125.73,11,1033,6,24,399.98,3,0.25,399.98,0.3143407170358518,0
1,4,-17.4,347.98,18,66,1,1,36,3,3,1964,51,52.0,0.13,399.98,-0.05,1,399.98,347.98,-17.4,15,196,3,24,399.98,3,0.25,399.98,-0.0435021751087554,0
2,4,0.0,335.98,18,66,1,1,36,3,3,1235,31,64.0,0.16,399.98,0.0,1,399.98,335.98,0.0,7,437,6,24,399.98,3,0.25,399.98,0.0,0
2,4,165.99,331.98,18,66,1,1,36,3,3,1235,31,68.0,0.17,399.98,0.5,1,399.98,331.98,165.99,7,437,6,24,399.98,3,0.25,399.98,0.4149957497874894,0
1,4,24.53,52.19,12,267,0,1,20,0,3,2566,70,7.8,0.13,59.99,0.47,1,59.99,52.19,24.53,15,476,2,71,59.99,3,0.25,59.99,0.4089014835805967,0
1,4,109.43,287.98,9,267,0,1,20,3,3,2566,70,12.0,0.04,299.98,0.38,1,299.98,287.98,109.43,15,476,2,21,299.98,3,0.25,299.98,0.3647909860657377,0
3,4,89.3,190.0,47,267,0,1,20,6,2,2872,124,10.0,0.05,50.0,0.47,4,200.0,190.0,89.3,1,895,7,59,50.0,3,1.0,200.0,0.4465,0
3,4,180.58,419.96,10,267,0,1,20,5,1,2414,53,79.99,0.16,99.99,0.43,5,499.95,419.96,180.58,22,462,5,61,99.99,3,1.25,499.95,0.3611961196119612,0
1,4,11.88,197.98,10,267,0,1,20,5,3,2566,70,2.0,0.01,99.99,0.06,2,199.98,197.98,11.88,15,476,2,61,99.99,3,0.5,199.98,0.0594059405940594,0
1,4,18.41,40.02,44,267,0,1,20,8,3,3512,70,3.96,0.09,21.99,0.46,2,43.98,40.02,18.41,15,1056,2,34,21.99,3,0.5,43.98,0.4185993633469759,0
1,4,20.16,126.0,47,267,0,1,20,6,3,2566,70,24.0,0.16,50.0,0.16,3,150.0,126.0,20.16,15,476,2,59,50.0,3,0.75,150.0,0.1344,0
1,4,89.24,194.0,47,267,0,1,20,6,3,3512,70,6.0,0.03,50.0,0.46,4,200.0,194.0,89.24,15,1056,2,59,50.0,3,1.0,200.0,0.4462,0
0,4,30.0,200.0,47,267,0,1,20,6,2,2163,33,50.0,0.2,50.0,0.15,5,250.0,200.0,30.0,12,264,1,59,50.0,3,1.25,250.0,0.12,0
1,4,4.18,104.45,44,267,0,1,20,8,3,3512,70,5.5,0.05,21.99,0.04,5,109.95,104.45,4.18,15,1056,2,34,21.99,3,1.25,109.95,0.0380172805820827,0
2,1,120.11,272.98,9,267,0,1,20,3,1,967,120,27.0,0.09,299.98,0.44,1,299.98,272.98,120.11,10,325,6,21,299.98,0,1.0,299.98,0.4003933595573038,1
2,2,63.45,135.0,47,267,0,1,20,6,1,2003,53,15.0,0.1,50.0,0.47,3,150.0,135.0,63.45,22,822,6,59,50.0,2,1.5,150.0,0.423,0
3,2,44.8,159.99,46,267,0,1,20,3,1,2755,53,40.0,0.2,199.99,0.28,1,199.99,159.99,44.8,22,462,5,70,199.99,2,0.5,199.99,0.224011200560028,0
3,2,-43.76,232.76,12,267,0,1,20,0,1,2755,53,7.2,0.03,59.99,-0.19,4,239.96,232.76,-43.76,22,462,5,71,59.99,2,2.0,239.96,-0.1823637272878813,0
3,4,25.05,52.19,12,267,0,1,20,0,2,2872,124,7.8,0.13,59.99,0.48,1,59.99,52.19,25.05,1,895,7,71,59.99,3,0.25,59.99,0.4175695949324887,0
1,4,45.0,179.99,46,267,0,1,20,3,3,2566,70,20.0,0.1,199.99,0.25,1,199.99,179.99,45.0,15,476,2,70,199.99,3,0.25,199.99,0.2250112505625281,0
0,4,-391.72,237.41,30,267,0,1,20,3,2,2163,33,12.5,0.05,49.98,-1.65,5,249.9,237.41,-391.72,12,264,1,67,49.98,3,1.25,249.9,-1.5675070028011204,0
0,4,37.83,130.45,30,267,0,1,20,3,2,2163,33,19.49,0.13,49.98,0.29,3,149.94,130.45,37.83,12,264,1,67,49.98,3,0.75,149.94,0.2523009203681473,0
0,4,51.46,197.92,30,267,0,1,20,3,2,2163,33,2.0,0.01,49.98,0.26,4,199.92,197.92,51.46,12,264,1,67,49.98,3,1.0,199.92,0.2574029611844738,0
1,2,8.73,24.24,0,66,1,0,36,8,1,1094,53,0.75,0.03,24.99,0.36,1,24.99,24.24,8.73,22,462,2,90,24.99,2,0.5,24.99,0.3493397358943578,0
1,2,3.4,169.96,38,66,1,0,36,6,1,1094,53,29.99,0.15,39.99,0.02,5,199.95,169.96,3.4,22,462,2,102,39.99,2,2.5,199.95,0.0170042510627656,0
2,0,54.0,149.99,46,66,1,0,36,3,1,2700,75,50.0,0.25,199.99,0.36,1,199.99,149.99,54.0,17,565,6,70,199.99,1,0.0,199.99,0.2700135006750337,1
2,0,-441.74,284.99,12,66,1,0,36,0,1,2700,75,15.0,0.05,299.99,-1.55,1,299.99,284.99,-441.74,17,565,6,100,299.99,1,0.0,299.99,-1.4725157505250177,1
2,2,65.25,173.99,46,66,1,0,36,3,1,1024,141,26.0,0.13,199.99,0.38,1,199.99,173.99,65.25,10,334,6,70,199.99,2,0.5,199.99,0.3262663133156657,0
2,0,184.31,383.98,18,66,1,0,36,3,1,2700,75,16.0,0.04,399.98,0.48,1,399.98,383.98,184.31,17,565,6,24,399.98,1,0.0,399.98,0.4607980399019951,1
2,1,128.51,377.98,18,66,1,0,36,3,1,967,120,22.0,0.06,399.98,0.34,1,399.98,377.98,128.51,10,325,6,24,399.98,0,1.0,399.98,0.3212910645532276,1
2,2,88.21,260.98,9,66,1,0,36,3,1,1024,141,39.0,0.13,299.98,0.34,1,299.98,260.98,88.21,10,334,6,21,299.98,2,0.5,299.98,0.2940529368624575,0
2,2,16.3,100.0,47,66,1,0,36,6,1,1024,141,0.0,0.0,50.0,0.16,2,100.0,100.0,16.3,10,334,6,59,50.0,2,1.0,100.0,0.163,0
2,2,-453.52,283.45,12,66,1,0,36,0,1,1024,141,16.5,0.06,59.99,-1.6,5,299.95,283.45,-453.52,10,334,6,71,59.99,2,2.5,299.95,-1.5119853308884814,0
0,2,188.15,391.98,18,66,1,0,36,3,2,3186,105,8.0,0.02,399.98,0.48,1,399.98,391.98,188.15,3,616,1,24,399.98,2,0.5,399.98,0.4703985199259963,0
2,2,-143.44,81.97,30,66,1,0,36,3,1,1024,141,17.99,0.18,49.98,-1.75,2,99.96,81.97,-143.44,10,334,6,67,49.98,2,1.0,99.96,-1.4349739895958384,0
0,2,-52.65,116.99,34,66,1,0,36,0,2,3186,105,13.0,0.1,129.99,-0.45,1,129.99,116.99,-52.65,3,616,1,56,129.99,2,0.5,129.99,-0.4050311562427878,0
0,2,-29.39,146.96,3,66,1,0,36,4,2,3186,105,27.99,0.16,34.99,-0.2,5,174.95,146.96,-29.39,3,616,1,113,34.99,2,2.5,174.95000000000002,-0.1679908545298657,0
1,4,49.18,145.5,47,482,0,1,42,6,0,1727,106,4.5,0.03,50.0,0.34,3,150.0,145.5,49.18,19,568,2,59,50.0,3,0.75,150.0,0.3278666666666666,0
1,4,59.49,176.0,47,482,0,1,42,6,0,1727,106,24.0,0.12,50.0,0.34,4,200.0,176.0,59.49,19,568,2,59,50.0,3,1.0,200.0,0.29745,0
1,4,-269.7,174.0,47,482,0,1,42,6,0,1727,106,26.0,0.13,50.0,-1.55,4,200.0,174.0,-269.7,19,568,2,59,50.0,3,1.0,200.0,-1.3485,0
1,4,81.11,239.96,12,482,0,1,42,0,0,1727,106,59.99,0.2,59.99,0.34,5,299.95,239.96,81.11,19,568,2,71,59.99,3,1.25,299.95,0.2704117352892148,0
1,4,20.34,116.2,0,482,0,1,42,8,2,1244,102,8.75,0.07,24.99,0.18,5,124.95,116.2,20.34,3,926,2,86,24.99,3,1.25,124.95,0.1627851140456182,0
1,4,0.0,37.99,38,482,0,1,42,6,2,1244,102,2.0,0.05,39.99,0.0,1,39.99,37.99,0.0,3,926,2,102,39.99,3,0.25,39.99,0.0,0
1,4,-39.41,145.44,30,482,0,1,42,3,2,1244,102,4.5,0.03,49.98,-0.27,3,149.94,145.44,-39.41,3,926,2,67,49.98,3,0.75,149.94,-0.2628384687208216,0
1,4,-52.23,94.96,30,482,0,1,42,3,2,1244,102,5.0,0.05,49.98,-0.55,2,99.96,94.96,-52.23,3,926,2,67,49.98,3,0.5,99.96,-0.5225090036014406,0
1,4,45.36,94.49,10,66,1,0,36,5,2,2075,102,5.5,0.06,99.99,0.48,1,99.99,94.49,45.36,3,292,2,61,99.99,3,0.25,99.99,0.4536453645364536,0
1,4,-3.95,103.99,34,66,1,0,36,0,2,2075,102,26.0,0.2,129.99,-0.04,1,129.99,103.99,-3.95,3,292,2,56,129.99,3,0.25,129.99,-0.0303869528425263,0
1,4,-19.11,109.18,12,66,1,0,36,0,1,39,53,10.8,0.09,59.99,-0.18,2,119.98,109.18,-19.11,22,259,2,71,59.99,3,0.5,119.98,-0.1592765460910151,0
1,4,51.02,188.95,25,66,1,0,36,8,1,39,53,11.0,0.06,39.99,0.27,5,199.95,188.95,51.02,22,259,2,15,39.99,3,1.25,199.95,0.2551637909477369,0
1,4,62.39,191.97,12,66,1,0,36,0,1,39,53,47.99,0.2,59.99,0.33,4,239.96,191.97,62.39,22,259,2,71,59.99,3,1.0,239.96,0.2600016669444907,0
1,4,113.98,242.5,47,66,1,0,36,6,2,2075,102,7.5,0.03,50.0,0.47,5,250.0,242.5,113.98,3,292,2,59,50.0,3,1.25,250.0,0.45592,0
2,2,41.32,193.99,46,66,1,0,36,3,1,3349,9,6.0,0.03,199.99,0.21,1,199.99,193.99,41.32,22,1034,6,70,199.99,2,0.5,199.99,0.2066103305165258,0
2,2,30.79,98.38,12,66,1,0,36,0,1,3349,9,21.6,0.18,59.99,0.31,2,119.98,98.38,30.79,22,1034,6,71,59.99,2,1.0,119.98,0.2566261043507251,0
1,4,-45.1,239.9,30,66,1,0,36,3,1,39,53,10.0,0.04,49.98,-0.19,5,249.9,239.9,-45.1,22,259,2,67,49.98,3,1.25,249.9,-0.1804721888755502,0
0,4,40.68,359.98,18,66,1,0,36,3,1,2586,53,40.0,0.1,399.98,0.11,1,399.98,359.98,40.68,22,462,1,24,399.98,3,0.25,399.98,0.1017050852542627,0
0,4,5.58,89.99,12,66,1,0,36,0,1,2586,53,30.0,0.25,59.99,0.06,2,119.98,89.99,5.58,22,462,1,71,59.99,3,0.5,119.98,0.0465077512918819,0
0,4,-28.04,245.96,12,66,1,0,36,0,1,2586,53,53.99,0.18,59.99,-0.11,5,299.95,245.96,-28.04,22,462,1,71,59.99,3,1.25,299.95,-0.0934822470411735,0
3,4,102.95,395.96,10,447,0,1,40,5,0,3010,138,4.0,0.01,99.99,0.26,4,399.96,395.96,102.95,16,360,7,61,99.99,3,1.0,399.96,0.2574007400740074,0
3,4,9.0,449.96,10,447,0,1,40,5,0,3010,138,50.0,0.1,99.99,0.02,5,499.95,449.96,9.0,16,360,7,61,99.99,3,1.25,499.95,0.018001800180018,0
0,1,78.66,167.37,12,447,0,1,40,0,2,2137,102,12.6,0.07,59.99,0.47,3,179.97,167.37,78.66,3,743,1,71,59.99,0,3.0,179.97,0.4370728454742457,1
2,1,129.99,399.98,18,447,0,1,40,3,3,1236,31,0.0,0.0,399.98,0.33,1,399.98,399.98,129.99,7,386,4,24,399.98,0,1.0,399.98,0.3249912495624781,1
