Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Shipping_Delay,Shipping_Pressure_Index,Order_Complexity_Score,Profit_Margin,Express_Shipping
DEBIT,2,2,20.16,335.98,Shipping on time,0,Fishing,San Diego,EE. UU.,Corporate,CA,Fan Shop,Europe,Dudley,Reino Unido,64.0,0.16,399.98,0.06,1,399.98,335.98,20.16,Northern Europe,Inglaterra,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Second Class,0,0.5,399.98,0.0504025201260062,0
TRANSFER,2,1,56.9,123.7,Late delivery,1,Accessories,York,EE. UU.,Corporate,PA,Outdoors,LATAM,Mexico City,México,1.25,0.01,24.99,0.46,5,124.95,123.7,56.9,Central America,Distrito Federal,PROCESSING,Team Golf St. Louis Cardinals Putter Grip,24.99,First Class,1,5.0,624.75,0.4553821528611444,1
DEBIT,2,4,38.7,290.98,Advance shipping,0,Camping & Hiking,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Camagüey,Cuba,9.0,0.03,299.98,0.13,1,299.98,290.98,38.7,Caribbean,Camagüey,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,-2,0.25,299.98,0.1290086005733715,0
PAYMENT,4,4,0.84,11.19,Shipping on time,0,Toys,Caguas,Puerto Rico,Consumer,PR,Fan Shop,Pacific Asia,Bundaberg,Australia,0.35,0.03,11.54,0.08,1,11.54,11.19,0.84,Oceania,Queensland,PENDING_PAYMENT,Toys ,11.54,Standard Class,0,0.25,11.54,0.072790294627383,0
TRANSFER,6,4,-5.94,59.39,Late delivery,1,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,Africa,Bukavu,República Democrática del Congo,0.6,0.01,59.99,-0.1,1,59.99,59.39,-5.94,Central Africa,Kivu del Sur,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,2,0.25,59.99,-0.0990165027504584,0
PAYMENT,5,4,-67.4,43.48,Late delivery,1,Indoor/Outdoor Games,Caguas,Puerto Rico,Corporate,PR,Fan Shop,USCA,Paterson,Estados Unidos,6.5,0.13,49.98,-1.55,1,49.98,43.48,-67.4,East of USA,Nueva Jersey,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,1,0.25,49.98,-1.3485394157663066,0
DEBIT,6,4,21.88,128.69,Late delivery,1,Men's Footwear,Long Beach,EE. UU.,Corporate,CA,Apparel,Pacific Asia,Yakarta,Indonesia,1.3,0.01,129.99,0.17,1,129.99,128.69,21.88,Southeast Asia,Yakarta,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,2,0.25,129.99,0.1683206400492345,0
PAYMENT,6,4,5.49,148.44,Late delivery,1,Indoor/Outdoor Games,Caguas,Puerto Rico,Corporate,PR,Fan Shop,Europe,Taranto,Italia,1.5,0.01,49.98,0.04,3,149.94,148.44,5.49,Southern Europe,Apulia,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,2,0.75,449.82,0.0366146458583433,0
DEBIT,2,1,-3.16,14.54,Late delivery,1,Golf Balls,Las Vegas,EE. UU.,Corporate,NV,Outdoors,USCA,New York City,Estados Unidos,0.45,0.03,14.99,-0.22,1,14.99,14.54,-3.16,East of USA,Nueva York,COMPLETE,Hirzl Men's Hybrid Golf Glove,14.99,First Class,1,1.0,14.99,-0.2108072048032021,1
CASH,3,4,10.8,40.0,Advance shipping,0,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,Pacific Asia,Bandung,Indonesia,10.0,0.2,50.0,0.27,1,50.0,40.0,10.8,Southeast Asia,Java Occidental,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,-1,0.25,50.0,0.216,0
PAYMENT,2,4,67.57,199.92,Advance shipping,0,Indoor/Outdoor Games,Albuquerque,EE. UU.,Consumer,NM,Fan Shop,Europe,Kryvyy Rih,Ucrania,49.98,0.2,49.98,0.34,5,249.9,199.92,67.57,Eastern Europe,Dnipropetrovsk,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,-2,1.25,1249.5,0.2703881552621048,0
PAYMENT,5,4,74.99,299.95,Late delivery,1,Cleats,Escondido,EE. UU.,Corporate,CA,Apparel,LATAM,Avellaneda,Argentina,0.0,0.0,59.99,0.25,5,299.95,299.95,74.99,South America,Santa Fe,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,1,1.25,1499.75,0.2500083347224537,0
PAYMENT,4,2,41.74,86.97,Late delivery,1,Indoor/Outdoor Games,New York,EE. UU.,Corporate,NY,Fan Shop,Europe,London,Reino Unido,12.99,0.13,49.98,0.48,2,99.96,86.97,41.74,Northern Europe,Inglaterra,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Second Class,2,1.0,199.92,0.4175670268107243,0
DEBIT,2,4,14.85,197.99,Advance shipping,0,Water Sports,Caguas,Puerto Rico,Consumer,PR,Fan Shop,Europe,Apeldoorn,Países Bajos,2.0,0.01,199.99,0.08,1,199.99,197.99,14.85,Western Europe,Güeldres,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Standard Class,-2,0.25,199.99,0.0742537126856342,0
CASH,5,4,31.66,109.18,Late delivery,1,Cleats,Fullerton,EE. UU.,Corporate,CA,Apparel,USCA,Seattle,Estados Unidos,10.8,0.09,59.99,0.29,2,119.98,109.18,31.66,West of USA ,Washington,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,1,0.5,239.96,0.2638773128854809,0
TRANSFER,5,4,-209.97,299.95,Late delivery,1,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,USCA,Columbus,Estados Unidos,0.0,0.0,59.99,-0.7,5,299.95,299.95,-209.97,South of  USA ,Georgia,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,1,1.25,1499.75,-0.7000166694449075,0
DEBIT,2,4,20.59,79.18,Advance shipping,0,Shop By Sport,Bronx,EE. UU.,Corporate,NY,Golf,Europe,Amberes,Bélgica,0.8,0.01,39.99,0.26,2,79.98,79.18,20.59,Western Europe,Amberes,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,-2,0.5,159.96,0.2574393598399599,0
DEBIT,5,2,47.99,159.95,Late delivery,1,Electronics,Caguas,Puerto Rico,Corporate,PR,Outdoors,Pacific Asia,Jinjiang,China,0.0,0.0,31.99,0.3,5,159.95,159.95,47.99,Eastern Asia,Fujian,COMPLETE,Bridgestone e6 Straight Distance NFL Carolina,31.99,Second Class,3,2.5,799.75,0.3000312597686777,0
TRANSFER,6,2,20.08,40.98,Late delivery,1,Indoor/Outdoor Games,Rio Grande,Puerto Rico,Corporate,PR,Fan Shop,LATAM,Nicoya,Costa Rica,9.0,0.18,49.98,0.49,1,49.98,40.98,20.08,Central America,Guanacaste,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Second Class,4,0.5,49.98,0.4017607042817127,0
CASH,5,2,30.13,83.0,Late delivery,1,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,Pacific Asia,Changshu,China,17.0,0.17,50.0,0.36,2,100.0,83.0,30.13,Eastern Asia,Jiangsu,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class,3,1.0,200.0,0.3013,0
TRANSFER,3,4,64.68,184.79,Advance shipping,0,Women's Golf Clubs,Caguas,Puerto Rico,Home Office,PR,Outdoors,Europe,Sunderland,Reino Unido,25.2,0.12,209.99,0.35,1,209.99,184.79,64.68,Northern Europe,Inglaterra,PROCESSING,Cleveland Golf Collegiate My Custom Wedge 588,209.99,Standard Class,-1,0.25,209.99,0.3080146673651126,0
PAYMENT,2,1,14.31,31.8,Late delivery,1,Video Games,Caguas,Puerto Rico,Consumer,PR,Discs Shop,Pacific Asia,Tegal,Indonesia,7.95,0.2,39.75,0.45,1,39.75,31.8,14.31,Southeast Asia,Java Central,PENDING_PAYMENT,Fighting video games,39.75,First Class,1,1.0,39.75,0.36,1
DEBIT,6,2,36.18,139.16,Late delivery,1,Electronics,Morganton,EE. UU.,Consumer,NC,Outdoors,Europe,Paris,Francia,20.79,0.13,31.99,0.26,5,159.95,139.16,36.18,Western Europe,Isla de Francia,COMPLETE,Bridgestone e6 Straight Distance NFL San Dieg,31.99,Second Class,4,2.5,799.75,0.2261956861519224,0
PAYMENT,4,4,24.99,249.9,Shipping on time,0,Indoor/Outdoor Games,Caguas,Puerto Rico,Consumer,PR,Fan Shop,Pacific Asia,Izmir,Turquía,0.0,0.0,49.98,0.1,5,249.9,249.9,24.99,West Asia,Izmir,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,0,1.25,1249.5,0.0999999999999999,0
PAYMENT,6,4,-699.97,399.98,Late delivery,1,Fishing,Brooklyn,EE. UU.,Home Office,NY,Fan Shop,LATAM,Monterrey,México,0.0,0.0,399.98,-1.75,1,399.98,399.98,-699.97,Central America,Nuevo León,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,2,0.25,399.98,-1.750012500625031,0
TRANSFER,4,4,12.55,199.17,Shipping on time,0,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,Europe,Bilbao,España,40.79,0.17,59.99,0.06,4,239.96,199.17,12.55,Southern Europe,País Vasco,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,0,1.0,959.84,0.0523003833972328,0
TRANSFER,4,4,12.45,165.99,Shipping on time,0,Water Sports,Los Angeles,EE. UU.,Consumer,CA,Fan Shop,Europe,Elx,España,34.0,0.17,199.99,0.08,1,199.99,165.99,12.45,Southern Europe,Valenciana,PROCESSING,Pelican Sunstream 100 Kayak,199.99,Standard Class,0,0.25,199.99,0.0622531126556327,0
TRANSFER,2,4,9.41,33.59,Advance shipping,0,Shop By Sport,Victorville,EE. UU.,Home Office,CA,Golf,Europe,Almelo,Países Bajos,6.4,0.16,39.99,0.28,1,39.99,33.59,9.41,Western Europe,Overijssel,PROCESSING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,-2,0.25,39.99,0.2353088272068016,0
DEBIT,6,2,20.79,189.0,Late delivery,1,Women's Apparel,Long Beach,EE. UU.,Consumer,CA,Golf,Africa,Rabat,Marruecos,11.0,0.06,50.0,0.11,4,200.0,189.0,20.79,North Africa,Rabat-Salé-Zemur-Zaer,ON_HOLD,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class,4,2.0,800.0,0.10395,0
TRANSFER,2,1,60.82,179.93,Shipping canceled,0,Indoor/Outdoor Games,Brownsville,EE. UU.,Consumer,TX,Fan Shop,LATAM,Mexico City,México,19.99,0.1,49.98,0.34,4,199.92,179.93,60.82,Central America,Distrito Federal,SUSPECTED_FRAUD,O'Brien Men's Neoprene Life Vest,49.98,First Class,1,4.0,799.68,0.3042216886754702,1
DEBIT,2,4,114.38,278.98,Advance shipping,0,Camping & Hiking,Honolulu,EE. UU.,Home Office,HI,Fan Shop,Europe,Manchester,Reino Unido,21.0,0.07,299.98,0.41,1,299.98,278.98,114.38,Northern Europe,Inglaterra,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,-2,0.25,299.98,0.3812920861390759,0
PAYMENT,2,1,13.1,28.48,Late delivery,1,Golf Balls,Vega Baja,Puerto Rico,Consumer,PR,Outdoors,USCA,Arlington,Estados Unidos,1.5,0.05,14.99,0.46,2,29.98,28.48,13.1,US Center ,Texas,PENDING_PAYMENT,Hirzl Women's Hybrid Golf Glove,14.99,First Class,1,2.0,59.96,0.4369579719813208,1
DEBIT,2,1,-171.59,114.39,Late delivery,1,Men's Footwear,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,Uberlândia,Brasil,15.6,0.12,129.99,-1.5,1,129.99,114.39,-171.59,South America,Minas Gerais,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,First Class,1,1.0,129.99,-1.3200246172782522,1
TRANSFER,6,4,-435.15,255.97,Shipping canceled,0,Women's Golf Clubs,Chicago,EE. UU.,Corporate,IL,Outdoors,Europe,Flensburg,Alemania,63.99,0.2,79.99,-1.7,4,319.96,255.97,-435.15,Western Europe,Schleswig-Holstein,SUSPECTED_FRAUD,MDGolf Pittsburgh Penguins Putter,79.99,Standard Class,2,1.0,1279.84,-1.360013751718965,0
PAYMENT,2,4,141.11,335.98,Advance shipping,0,Fishing,Bayamon,Puerto Rico,Corporate,PR,Fan Shop,USCA,Dallas,Estados Unidos,64.0,0.16,399.98,0.42,1,399.98,335.98,141.11,US Center ,Texas,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,-2,0.25,399.98,0.3527926396319816,0
PAYMENT,6,2,78.9,164.38,Late delivery,1,DVDs,Los Angeles,EE. UU.,Corporate,CA,Discs Shop,Pacific Asia,Korba,India,0.0,0.0,164.38,0.48,1,164.38,164.38,78.9,South Asia,Chhattisgarh,PENDING_PAYMENT,DVDs ,164.38,Second Class,4,0.5,164.38,0.4799853996836599,0
CASH,2,1,-460.92,173.93,Late delivery,1,Indoor/Outdoor Games,Washington,EE. UU.,Corporate,DC,Fan Shop,LATAM,San Miguelito,Panamá,25.99,0.13,49.98,-2.65,4,199.92,173.93,-460.92,Central America,Panamá,CLOSED,O'Brien Men's Neoprene Life Vest,49.98,First Class,1,4.0,799.68,-2.305522208883554,1
PAYMENT,2,2,23.04,383.98,Shipping on time,0,Fishing,Caguas,Puerto Rico,Corporate,PR,Fan Shop,Pacific Asia,Bagdad,Irak,16.0,0.04,399.98,0.06,1,399.98,383.98,23.04,West Asia,Bagdad,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Second Class,0,0.5,399.98,0.0576028801440072,0
TRANSFER,3,4,92.23,224.96,Shipping canceled,0,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,Europe,Sesto San Giovanni,Italia,74.99,0.25,59.99,0.41,5,299.95,224.96,92.23,Southern Europe,Lombardía,SUSPECTED_FRAUD,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,-1,1.25,1499.75,0.3074845807634606,0
DEBIT,4,4,40.56,124.79,Shipping on time,0,Men's Footwear,Caguas,Puerto Rico,Consumer,PR,Apparel,Europe,Bayonne,Francia,5.2,0.04,129.99,0.33,1,129.99,124.79,40.56,Western Europe,Aquitania-Lemosín-Poitou-Charentes,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,0,0.25,129.99,0.3120240018462958,0
PAYMENT,5,2,-110.09,299.99,Late delivery,1,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,Pacific Asia,Mosul,Irak,100.0,0.25,399.98,-0.37,1,399.98,299.99,-110.09,West Asia,Nínive,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Second Class,3,0.5,399.98,-0.2752387619380969,0
TRANSFER,4,4,16.89,53.97,Shipping on time,0,Golf Balls,Hialeah,EE. UU.,Corporate,FL,Outdoors,LATAM,Santo Domingo,República Dominicana,6.0,0.1,19.99,0.31,3,59.97,53.97,16.89,Caribbean,Santo Domingo,PENDING,Glove It Women's Mod Oval Golf Glove,19.99,Standard Class,0,0.75,179.91,0.2816408204102051,0
DEBIT,2,4,23.65,181.93,Advance shipping,0,Indoor/Outdoor Games,Detroit,EE. UU.,Corporate,MI,Fan Shop,LATAM,Saltillo,México,17.99,0.09,49.98,0.13,4,199.92,181.93,23.65,Central America,Coahuila,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,-2,1.0,799.68,0.118297318927571,0
DEBIT,2,1,13.2,29.99,Late delivery,1,Shop By Sport,Philadelphia,EE. UU.,Consumer,PA,Golf,Pacific Asia,Yakarta,Indonesia,10.0,0.25,39.99,0.44,1,39.99,29.99,13.2,Southeast Asia,Yakarta,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99,First Class,1,1.0,39.99,0.3300825206301575,1
DEBIT,2,1,60.74,161.97,Late delivery,1,Cleats,Hendersonville,EE. UU.,Consumer,TN,Apparel,Europe,Lyon,Francia,18.0,0.1,59.99,0.38,3,179.97,161.97,60.74,Western Europe,Auvernia-Ródano-Alpes,ON_HOLD,Perfect Fitness Perfect Rip Deck,59.99,First Class,1,3.0,539.91,0.3375006945602045,1
DEBIT,3,4,22.5,179.99,Advance shipping,0,Water Sports,Caguas,Puerto Rico,Home Office,PR,Fan Shop,Pacific Asia,Estambul,Turquía,20.0,0.1,199.99,0.13,1,199.99,179.99,22.5,West Asia,Estambul,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Standard Class,-1,0.25,199.99,0.112505625281264,0
CASH,5,2,16.56,118.29,Late delivery,1,Men's Footwear,Caguas,Puerto Rico,Home Office,PR,Apparel,Pacific Asia,Porirua,Nueva Zelanda,11.7,0.09,129.99,0.14,1,129.99,118.29,16.56,Oceania,Wellington,CLOSED,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class,3,0.5,129.99,0.1273944149549965,0
TRANSFER,4,4,48.57,155.16,Shipping on time,0,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,Europe,Klagenfurt,Austria,4.8,0.03,39.99,0.31,4,159.96,155.16,48.57,Western Europe,Carintia,PROCESSING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,0,1.0,639.84,0.3036384096024005,0
PAYMENT,2,1,-537.57,335.98,Late delivery,1,Fishing,Los Angeles,EE. UU.,Corporate,CA,Fan Shop,USCA,San Francisco,Estados Unidos,64.0,0.16,399.98,-1.6,1,399.98,335.98,-537.57,West of USA ,California,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,First Class,1,1.0,399.98,-1.3439921996099806,1
DEBIT,5,4,63.33,197.92,Late delivery,1,Indoor/Outdoor Games,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Limeira,Brasil,2.0,0.01,49.98,0.32,4,199.92,197.92,63.33,South America,São Paulo,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,1,1.0,799.68,0.3167767106842737,0
DEBIT,3,2,39.13,134.95,Late delivery,1,Indoor/Outdoor Games,Bronx,EE. UU.,Corporate,NY,Fan Shop,Pacific Asia,Adelaide,Australia,14.99,0.1,49.98,0.29,3,149.94,134.95,39.13,Oceania,Australia del Sur,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Second Class,1,1.5,449.82,0.2609710550887021,0
PAYMENT,2,1,30.54,145.44,Late delivery,1,Indoor/Outdoor Games,Dearborn,EE. UU.,Home Office,MI,Fan Shop,USCA,Salem,Estados Unidos,4.5,0.03,49.98,0.21,3,149.94,145.44,30.54,South of  USA ,Virginia,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,First Class,1,3.0,449.82,0.2036814725890356,1
DEBIT,4,4,24.94,113.38,Shipping on time,0,Cleats,Pico Rivera,EE. UU.,Consumer,CA,Apparel,Europe,Bristol,Reino Unido,6.6,0.06,59.99,0.22,2,119.98,113.38,24.94,Northern Europe,Inglaterra,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,0,0.5,239.96,0.2078679779963327,0
TRANSFER,3,4,41.5,331.98,Shipping canceled,0,Fishing,Caguas,Puerto Rico,Corporate,PR,Fan Shop,Pacific Asia,Adelaide,Australia,68.0,0.17,399.98,0.13,1,399.98,331.98,41.5,Oceania,Australia del Sur,CANCELED,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,-1,0.25,399.98,0.1037551877593879,0
TRANSFER,3,4,-37.5,25.0,Advance shipping,0,Hockey,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Adelaide,Australia,0.0,0.0,25.0,-1.5,1,25.0,25.0,-37.5,Oceania,Australia del Sur,PROCESSING,Nike Women's Legend V-Neck T-Shirt,25.0,Standard Class,-1,0.25,25.0,-1.5,0
PAYMENT,5,4,3.72,124.12,Late delivery,1,Electronics,Pekin,EE. UU.,Corporate,IL,Footwear,Africa,Maroua,Camerún,3.84,0.03,31.99,0.03,4,127.96,124.12,3.72,Central Africa,Extreme-Nord,PENDING_PAYMENT,Under Armour Women's Ignite Slide,31.99,Standard Class,1,1.0,511.84,0.0290715848702719,0
TRANSFER,2,1,-13.86,85.0,Shipping canceled,0,Women's Apparel,Norwalk,EE. UU.,Corporate,CA,Golf,Europe,Járkov,Ucrania,15.0,0.15,50.0,-0.16,2,100.0,85.0,-13.86,Eastern Europe,Járkov,SUSPECTED_FRAUD,Nike Men's Dri-FIT Victory Golf Polo,50.0,First Class,1,2.0,200.0,-0.1386,1
TRANSFER,2,1,140.84,387.98,Late delivery,1,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Ciego de Ávila,Cuba,12.0,0.03,399.98,0.36,1,399.98,387.98,140.84,Caribbean,Ciego de Ávila,PROCESSING,Field & Stream Sportsman 16 Gun Fire Safe,399.98,First Class,1,1.0,399.98,0.352117605880294,1
DEBIT,6,4,178.55,371.98,Late delivery,1,Fishing,Gardena,EE. UU.,Consumer,CA,Fan Shop,Europe,Arnsberg,Alemania,28.0,0.07,399.98,0.48,1,399.98,371.98,178.55,Western Europe,Renania del Norte-Westfalia,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,2,0.25,399.98,0.4463973198659933,0
TRANSFER,5,4,-37.21,55.79,Late delivery,1,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,Pacific Asia,Kandahar,Afganistán,4.2,0.07,59.99,-0.67,1,59.99,55.79,-37.21,South Asia,Kandahar,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,1,0.25,59.99,-0.6202700450075013,0
CASH,6,4,55.41,113.09,Late delivery,1,Men's Footwear,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Joinville,Brasil,16.9,0.13,129.99,0.49,1,129.99,113.09,55.41,South America,Santa Catarina,CLOSED,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,2,0.25,129.99,0.4262635587352872,0
DEBIT,6,4,16.73,92.96,Late delivery,1,Indoor/Outdoor Games,Salem,EE. UU.,Corporate,OR,Fan Shop,LATAM,Ocaña,Colombia,7.0,0.07,49.98,0.18,2,99.96,92.96,16.73,South America,Norte de Santander,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,2,0.5,199.92,0.1673669467787115,0
PAYMENT,6,4,53.76,191.99,Late delivery,1,Water Sports,Danbury,EE. UU.,Corporate,CT,Fan Shop,LATAM,Avellaneda,Argentina,8.0,0.04,199.99,0.28,1,199.99,191.99,53.76,South America,Santa Fe,PENDING_PAYMENT,Pelican Sunstream 100 Kayak,199.99,Standard Class,2,0.25,199.99,0.2688134406720335,0
TRANSFER,2,4,67.31,203.97,Advance shipping,0,Cleats,Portland,EE. UU.,Consumer,OR,Apparel,Europe,Rotherham,Reino Unido,35.99,0.15,59.99,0.33,4,239.96,203.97,67.31,Northern Europe,Inglaterra,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,-2,1.0,959.84,0.2805050841806968,0
